name,count_female,count_male,count_total_gender,share_female,share_male,race_W,count_race_W,race_B,count_race_B,race_H,count_race_H,race_A,count_race_A,count_total_race,share_white,share_black,share_hispanic,share_asian
Isabella,1601,0,1601,1,0,WHITE,347,BLACK,134,HISPANIC,929,ASIAN_PACIFIC-ISLANDER,191,1601,0.216739537788882,0.0836976889444097,0.580262336039975,0.119300437226733
Sophia,1776,0,1776,1,0,WHITE,529,BLACK,87,HISPANIC,788,ASIAN_PACIFIC-ISLANDER,372,1776,0.29786036036036,0.0489864864864865,0.443693693693694,0.209459459459459
Mia,1359,0,1359,1,0,WHITE,387,BLACK,117,HISPANIC,672,ASIAN_PACIFIC-ISLANDER,183,1359,0.28476821192053,0.0860927152317881,0.494481236203091,0.134657836644592
Emily,1277,0,1277,1,0,WHITE,388,BLACK,94,HISPANIC,494,ASIAN_PACIFIC-ISLANDER,301,1277,0.303837118245889,0.0736100234925607,0.386844166014096,0.235708692247455
Sofia,951,0,951,1,0,WHITE,332,BLACK,15,HISPANIC,531,ASIAN_PACIFIC-ISLANDER,73,951,0.349106203995794,0.0157728706624606,0.558359621451104,0.0767613038906414
Camila,509,0,509,1,0,WHITE,11,,,HISPANIC,498,,,509,0.0216110019646365,0,0.978388998035363,0
Ashley,612,0,612,1,0,WHITE,52,BLACK,43,HISPANIC,391,ASIAN_PACIFIC-ISLANDER,126,612,0.0849673202614379,0.0702614379084967,0.638888888888889,0.205882352941176
Madison,1053,0,1053,1,0,WHITE,223,BLACK,397,HISPANIC,361,ASIAN_PACIFIC-ISLANDER,72,1053,0.211775878442545,0.37701804368471,0.342830009496676,0.0683760683760684
Emma,1512,0,1512,1,0,WHITE,657,BLACK,76,HISPANIC,504,ASIAN_PACIFIC-ISLANDER,275,1512,0.43452380952381,0.0502645502645503,0.333333333333333,0.181878306878307
Genesis,370,0,370,1,0,,,BLACK,60,HISPANIC,310,,,370,0,0.162162162162162,0.837837837837838,0
Samantha,577,0,577,1,0,WHITE,169,BLACK,34,HISPANIC,305,ASIAN_PACIFIC-ISLANDER,69,577,0.292894280762565,0.0589254766031196,0.528596187175043,0.119584055459272
Melanie,370,0,370,1,0,WHITE,25,BLACK,47,HISPANIC,287,ASIAN_PACIFIC-ISLANDER,11,370,0.0675675675675676,0.127027027027027,0.775675675675676,0.0297297297297297
Brianna,430,0,430,1,0,WHITE,49,BLACK,71,HISPANIC,290,ASIAN_PACIFIC-ISLANDER,20,430,0.113953488372093,0.165116279069767,0.674418604651163,0.0465116279069768
Leah,1086,0,1086,1,0,WHITE,576,BLACK,110,HISPANIC,343,ASIAN_PACIFIC-ISLANDER,57,1086,0.530386740331492,0.101289134438306,0.315837937384899,0.0524861878453039
Abigail,859,0,859,1,0,WHITE,291,BLACK,162,HISPANIC,311,ASIAN_PACIFIC-ISLANDER,95,859,0.338766006984866,0.188591385331781,0.362048894062864,0.110593713620489
Hailey,553,0,553,1,0,WHITE,90,BLACK,85,HISPANIC,270,ASIAN_PACIFIC-ISLANDER,108,553,0.162748643761302,0.15370705244123,0.488245931283906,0.195298372513562
Kaylee,410,0,410,1,0,WHITE,22,BLACK,87,HISPANIC,237,ASIAN_PACIFIC-ISLANDER,64,410,0.0536585365853659,0.21219512195122,0.578048780487805,0.15609756097561
Victoria,806,0,806,1,0,WHITE,285,BLACK,108,HISPANIC,320,ASIAN_PACIFIC-ISLANDER,93,806,0.353598014888338,0.133995037220844,0.397022332506204,0.115384615384615
Allison,361,0,361,1,0,WHITE,28,,,HISPANIC,285,ASIAN_PACIFIC-ISLANDER,48,361,0.0775623268698061,0,0.789473684210526,0.132963988919668
Kimberly,269,0,269,1,0,,,,,HISPANIC,235,ASIAN_PACIFIC-ISLANDER,34,269,0,0,0.87360594795539,0.12639405204461
Gabriella,543,0,543,1,0,WHITE,234,BLACK,77,HISPANIC,217,ASIAN_PACIFIC-ISLANDER,15,543,0.430939226519337,0.141804788213628,0.39963167587477,0.0276243093922652
Arianna,474,0,474,1,0,WHITE,78,BLACK,121,HISPANIC,222,ASIAN_PACIFIC-ISLANDER,53,474,0.164556962025316,0.255274261603376,0.468354430379747,0.111814345991561
Olivia,1517,0,1517,1,0,WHITE,661,BLACK,171,HISPANIC,272,ASIAN_PACIFIC-ISLANDER,413,1517,0.435728411338167,0.112722478576137,0.179301252471984,0.272247857613711
Ava,1111,0,1111,1,0,WHITE,483,BLACK,227,HISPANIC,254,ASIAN_PACIFIC-ISLANDER,147,1111,0.434743474347435,0.204320432043204,0.228622862286229,0.132313231323132
Emely,151,0,151,1,0,,,,,HISPANIC,151,,,151,0,0,1,0
Elizabeth,664,0,664,1,0,WHITE,324,BLACK,77,HISPANIC,187,ASIAN_PACIFIC-ISLANDER,76,664,0.487951807228916,0.115963855421687,0.281626506024096,0.114457831325301
Aaliyah,365,0,365,1,0,,,BLACK,185,HISPANIC,180,,,365,0,0.506849315068493,0.493150684931507,0
Amy,311,0,311,1,0,WHITE,40,,,HISPANIC,202,ASIAN_PACIFIC-ISLANDER,69,311,0.128617363344051,0,0.64951768488746,0.221864951768489
Valentina,426,0,426,1,0,WHITE,124,,,HISPANIC,302,,,426,0.291079812206573,0,0.708920187793427,0
Zoe,735,0,735,1,0,WHITE,258,BLACK,126,HISPANIC,239,ASIAN_PACIFIC-ISLANDER,112,735,0.351020408163265,0.171428571428571,0.325170068027211,0.152380952380952
Alexa,365,0,365,1,0,WHITE,145,BLACK,12,HISPANIC,208,,,365,0.397260273972603,0.0328767123287671,0.56986301369863,0
Gabriela,201,0,201,1,0,WHITE,45,,,HISPANIC,156,,,201,0.223880597014925,0,0.776119402985075,0
Scarlett,402,0,402,1,0,WHITE,132,BLACK,11,HISPANIC,235,ASIAN_PACIFIC-ISLANDER,24,402,0.328358208955224,0.027363184079602,0.584577114427861,0.0597014925373134
Ariana,466,0,466,1,0,WHITE,100,BLACK,65,HISPANIC,216,ASIAN_PACIFIC-ISLANDER,85,466,0.214592274678112,0.139484978540773,0.463519313304721,0.182403433476395
Daniela,174,0,174,1,0,WHITE,10,,,HISPANIC,164,,,174,0.0574712643678161,0,0.942528735632184,0
Jennifer,168,0,168,1,0,WHITE,13,,,HISPANIC,116,ASIAN_PACIFIC-ISLANDER,39,168,0.0773809523809524,0,0.690476190476191,0.232142857142857
Adriana,223,0,223,1,0,WHITE,80,,,HISPANIC,143,,,223,0.358744394618834,0,0.641255605381166,0
Angelina,369,0,369,1,0,WHITE,129,BLACK,25,HISPANIC,145,ASIAN_PACIFIC-ISLANDER,70,369,0.349593495934959,0.0677506775067751,0.392953929539295,0.18970189701897
Kayla,466,0,466,1,0,WHITE,103,BLACK,153,HISPANIC,142,ASIAN_PACIFIC-ISLANDER,68,466,0.221030042918455,0.328326180257511,0.304721030042918,0.145922746781116
Nicole,412,0,412,1,0,WHITE,128,,,HISPANIC,201,ASIAN_PACIFIC-ISLANDER,83,412,0.310679611650485,0,0.487864077669903,0.201456310679612
Chloe,1044,0,1044,1,0,WHITE,263,BLACK,189,HISPANIC,186,ASIAN_PACIFIC-ISLANDER,406,1044,0.251915708812261,0.181034482758621,0.17816091954023,0.388888888888889
Jade,235,0,235,1,0,WHITE,11,BLACK,75,HISPANIC,149,,,235,0.0468085106382979,0.319148936170213,0.634042553191489,0
Maria,306,0,306,1,0,WHITE,142,,,HISPANIC,164,,,306,0.464052287581699,0,0.535947712418301,0
Serenity,278,0,278,1,0,,,BLACK,146,HISPANIC,132,,,278,0,0.525179856115108,0.474820143884892,0
Valerie,226,0,226,1,0,WHITE,50,,,HISPANIC,164,ASIAN_PACIFIC-ISLANDER,12,226,0.221238938053097,0,0.725663716814159,0.0530973451327434
